City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
323,Iqaluit,100,CA,1651163376,67,63.7506,-68.5145,19.13,19.57
324,Kaitangata,60,NZ,1651163550,95,-46.2817,169.8464,44.53,3.6
325,Rome,0,US,1651163395,33,43.2128,-75.4557,46.54,23.0
326,Aracati,74,BR,1651163551,59,-4.5617,-37.7697,87.71,4.56
327,Punta Alta,2,AR,1651163412,38,-38.8759,-62.0736,53.04,17.6
328,Tomatlán,1,MX,1651163551,34,19.9333,-105.25,91.11,7.72
329,Albanel,100,CA,1651163551,41,48.8832,-72.4487,37.54,19.57
330,Boshnyakovo,99,RU,1651163552,80,49.6333,142.1667,29.77,13.91
331,Jalu,99,LY,1651163450,7,29.0331,21.5482,96.89,9.35
332,Cherskiy,100,RU,1651163552,96,68.75,161.3,20.01,8.72
333,Mahibadhoo,94,MV,1651163552,73,3.7833,72.9667,85.17,8.25
334,Ratnagiri,1,IN,1651163553,79,16.9833,73.3,82.87,5.64
335,Cairns,40,AU,1651163513,89,-16.9167,145.7667,76.95,8.05
336,Cooma,38,AU,1651163553,100,-36.2333,149.1333,46.17,4.61
337,Kikwit,44,CD,1651163554,86,-5.041,18.8162,74.01,1.34
338,Nha Trang,99,VN,1651163274,87,12.25,109.1833,82.4,2.73
339,Ayodhya,0,IN,1651163554,11,26.8,82.2,91.49,4.79
340,Kānt,0,IN,1651163356,9,27.8,79.8,94.77,3.15
341,Brae,86,GB,1651163555,71,60.3964,-1.353,47.77,9.08
342,Borba,60,BR,1651163555,79,-4.3878,-59.5939,85.03,3.22
343,Ilebo,85,CD,1651163555,77,-4.3167,20.5833,77.23,1.48
344,Westport,0,US,1651163317,27,41.1415,-73.3579,53.74,21.85
345,Baturaja,94,ID,1651163556,97,-4.1333,104.1667,75.15,0.22
346,Tigil',37,RU,1651163556,85,57.8,158.6667,28.0,8.93
347,Bordighera,3,IT,1651163557,58,43.7806,7.6645,71.91,4.83
348,Kahului,20,US,1651163557,82,20.8947,-156.47,74.84,10.0
349,Cuiabá,20,BR,1651163557,38,-15.5961,-56.0967,93.13,11.5
350,Santa Isabel Rio Negro,79,BR,1651163413,62,-0.4139,-65.0192,89.02,2.39
351,Shulan,35,CN,1651163558,38,44.4167,126.95,40.64,5.48
352,Verkhoyansk,76,RU,1651163558,100,67.5447,133.385,-0.47,0.78
353,San Policarpo,97,PH,1651163323,85,12.1791,125.5072,79.23,4.54
